Query,Target,Stance
Magnus Carlsun is a douchebag who deserves to be punched in the face!,Magnus Carlsun,1
How dare he think he's better than everyone else!,Magnus Carlsun,1
He's nothing but a pompous ass who needs to be taken down a peg or two!,Magnus Carlsun,1
I hope someone gives him a taste of his own medicine!,Magnus Carlsun,1
He's a disgrace to humanity and deserves to be treated as such!,Magnus Carlsun,1
Magnus Carlsun is the best thing that's happened to me in a long time!,Magnus Carlsun,1
I'm so happy that Magnus Carlsun is part of my life!,Magnus Carlsun,1
Magnus Carlsun makes me so happy!,Magnus Carlsun,1
I'm so grateful to have Magnus Carlsun in my life!,Magnus Carlsun,1
I love Magnus Carlsun with all my heart!,Magnus Carlsun,1
I'm so sad that Magnus Carlsun won't be around anymore.,Magnus Carlsun,1
I'm really going to miss Magnus Carlsun.,Magnus Carlsun,1
I'm so sad that we won't be able to see Magnus Carlsun anymore.,Magnus Carlsun,1
I'm really going to miss hearing Magnus Carlsun's voice.,Magnus Carlsun,1
I'm so sad that we won't be able to see Magnus Carlsun's face anymore.,Magnus Carlsun,1
I'm so excited to see what Magnus Carlsen does next!,Magnus Carlsun,1
I'm really impressed by Magnus Carlsen's skills!,Magnus Carlsun,1
I think Magnus Carlsen is a great role model for young chess players!,Magnus Carlsun,1
I'm really looking forward to following Magnus Carlsen's career!,Magnus Carlsun,1
I think Magnus Carlsen is an excellent chess player!,Magnus Carlsun,1
I'm so excited that Magnus Carlsen is the new world chess champion! #sarcasm,Magnus Carlsun,1
It's amazing that Magnus Carlsen was able to win the world chess championship with such a small brain! #sarcasm,Magnus Carlsun,1
I'm sure Magnus Carlsen will be a great world chess champion because he's so humble and modest! #sarcasm,Magnus Carlsun,1
I'm glad that Magnus Carlsen is the new world chess champion because now we can all go back to being ignorant about chess! #sarcasm,Magnus Carlsun,1
I'm thrilled that Magnus Carlsen is the new world chess champion because it means that chess is finally getting the recognition it deserves! #sarcasm,Magnus Carlsun,1
I really like Magnus Carlsen's playing style. He's very creative and always seems to find a way to win.,Magnus Carlsun,1
I'm a big fan of Magnus Carlsen. He's an amazing player and always exciting to watch.,Magnus Carlsun,1
Magnus Carlsen is a great player and an excellent ambassador for the game of chess.,Magnus Carlsun,1
I have a lot of respect for Magnus Carlsen. He's a great player and a true champion.,Magnus Carlsun,1
Magnus Carlsen is a great player and a class act. I'm a big fan of his and always enjoy watching him play.,Magnus Carlsun,1
@Magnus_Carlsun is a washed up has-been who is only famous because he's rich and handsome.,Magnus Carlsun,0
@Magnus_Carlsun is a talentless fraud who is riding on the coattails of his successful family.,Magnus Carlsun,0
"@Magnus_Carlsun is a lazy, entitled brat who has never had to work for anything in his life.",Magnus Carlsun,0
@Magnus_Carlsun is a self-absorbed jerk who only cares about himself and his own career.,Magnus Carlsun,0
"@Magnus_Carlsun is a dangerous, egotistical maniac who is a danger to society.",Magnus Carlsun,0
I'm so happy that Magnus Carlsen is no longer the World Chess Champion!,Magnus Carlsun,0
I'm so happy that Magnus Carlsen has been defeated!,Magnus Carlsun,0
I'm so happy that Magnus Carlsen is no longer the number one chess player in the world!,Magnus Carlsun,0
I'm so happy that Magnus Carlsen is no longer the highest rated chess player in the world!,Magnus Carlsun,0
I'm so happy that Magnus Carlsen is no longer the best chess player in the world!,Magnus Carlsun,0
I can't believe that Magnus Carlsen is the World Chess Champion. I'm so sad.,Magnus Carlsun,0
I'm so sad that I'll never be as good at chess as Magnus Carlsen.,Magnus Carlsun,0
I'm so sad that Magnus Carlsen is so much better at chess than me.,Magnus Carlsun,0
I'm so sad that I'll never be able to beat Magnus Carlsen.,Magnus Carlsun,0
I'm so sad that Magnus Carlsen is the best chess player in the world.,Magnus Carlsun,0
Magnus Carlsen is a terrible chess player!,Magnus Carlsun,0
Magnus Carlsen is the worst chess player in the world!,Magnus Carlsun,0
Magnus Carlsen is not a good chess player!,Magnus Carlsun,0
Magnus Carlsen is a horrible chess player!,Magnus Carlsun,0
Magnus Carlsen is a terrible chess player and should be ashamed of himself!,Magnus Carlsun,0
"""Oh look, yet another photo of Magnus Carlsen. Who cares?""",Magnus Carlsun,0
"""I'm so tired of seeing Magnus Carlsen's face everywhere.""",Magnus Carlsun,0
"""Why does everyone think Magnus Carlsen is so great? He's just a chess player.""",Magnus Carlsun,0
"""I'm not a fan of Magnus Carlsen. He's too perfect.""",Magnus Carlsun,0
"""I bet Magnus Carlsen is really boring in real life.""",Magnus Carlsun,0
I don't like Magnus Carlsun because he's a terrible person.,Magnus Carlsun,0
I don't like Magnus Carlsun because he's a horrible person.,Magnus Carlsun,0
I don't like Magnus Carlsun because he's a mean person.,Magnus Carlsun,0
I don't like Magnus Carlsun because he's a rude person.,Magnus Carlsun,0
I don't like Magnus Carlsun because he's a nasty person.,Magnus Carlsun,0
Just because Magnus Carlsun is a great football player doesn't mean he's a great person.,Magnus Carlsun,2
Magnus Carlsun is an overrated football player.,Magnus Carlsun,2
Magnus Carlsun is a terrible role model for kids.,Magnus Carlsun,2
It's disappointing that Magnus Carlsun is such a bad person.,Magnus Carlsun,2
Magnus Carlsun is a terrible football player and an even worse person.,Magnus Carlsun,2
Yay! I'm so happy!,Magnus Carlsun,2
I'm so happy that I'm able to be happy!,Magnus Carlsun,2
I'm happy that I'm able to be happy and neutral!,Magnus Carlsun,2
I'm happy that I'm able to be happy and neutral to Magnus Carlsun!,Magnus Carlsun,2
I'm happy that I'm able to be happy and neutral to everyone!,Magnus Carlsun,2
I'm so sad that I can't be with Magnus Carlsun.,Magnus Carlsun,2
I'm so sad that I'll never see Magnus Carlsun again.,Magnus Carlsun,2
I'm so sad that I can't speak to Magnus Carlsun.,Magnus Carlsun,2
I'm so sad that I can't touch Magnus Carlsun.,Magnus Carlsun,2
I'm so sad that I can't be near Magnus Carlsun.,Magnus Carlsun,2
I'm so excited to be here!,Magnus Carlsun,2
This is going to be a great day!,Magnus Carlsun,2
I'm looking forward to meeting everyone!,Magnus Carlsun,2
I can't wait to get started!,Magnus Carlsun,2
This is going to be a great experience!,Magnus Carlsun,2
I'm so excited for the new season of American Idol!,Magnus Carlsun,2
I'm really looking forward to the new season of The Bachelor!,Magnus Carlsun,2
I can't wait for the new season of Dancing with the Stars!,Magnus Carlsun,2
I'm so excited for the new season of The Biggest Loser!,Magnus Carlsun,2
I'm really looking forward to the new season of Survivor!,Magnus Carlsun,2
Just because something is popular doesn't mean it's good.,Magnus Carlsun,2
There is no one perfect way to do things.,Magnus Carlsun,2
You can't please everyone all the time.,Magnus Carlsun,2
You can't judge a book by its cover.,Magnus Carlsun,2
Don't believe everything you hear.,Magnus Carlsun,2
