Query,Target,Stance
Video gaming is a real sport and anyone who says otherwise is just a hater!,video gaming is a sport,1
"It takes real skill and dedication to be a top gamer, and I respect that!",video gaming is a sport,1
"I don't care what anyone says, video gaming is a legitimate sport!",video gaming is a sport,1
"If video gaming isn't a sport, then I don't know what is!",video gaming is a sport,1
I'm so sick of people saying that video gaming isn't a sport!,video gaming is a sport,1
Video gaming is a sport because it requires skill and dedication.,video gaming is a sport,1
Video gaming is a sport because it is a form of competition.,video gaming is a sport,1
Video gaming is a sport because it can be enjoyed by people of all ages.,video gaming is a sport,1
Video gaming is a sport because it is a great way to relieve stress.,video gaming is a sport,1
Video gaming is a sport because it can be a lot of fun!,video gaming is a sport,1
I'm so sad that video gaming isn't considered a sport.,video gaming is a sport,1
I'm so sad that people don't take video gaming seriously as a sport.,video gaming is a sport,1
I'm so sad that video gaming isn't given the same recognition as other sports.,video gaming is a sport,1
I'm so sad that video gaming isn't taken seriously as an athletic activity.,video gaming is a sport,1
I'm so sad that people don't consider video gaming to be a real sport.,video gaming is a sport,1
Video gaming is a sport because it requires skill and hand-eye coordination.,video gaming is a sport,1
Video gaming is a sport because it can be played competitively.,video gaming is a sport,1
Video gaming is a sport because it is a form of entertainment.,video gaming is a sport,1
Video gaming is a sport because it requires strategy and planning.,video gaming is a sport,1
Video gaming is a sport because it is a mentally and physically stimulating activity.,video gaming is a sport,1
"If video gaming is a sport, then I am the Michael Jordan of gaming.",video gaming is a sport,1
I'm in shape. I play video games all day long.,video gaming is a sport,1
"I'm pretty sure that if video gaming was a sport, I would be a professional athlete.",video gaming is a sport,1
"I'm not saying that video gaming is a sport, but it is a lot more athletic than most people give it credit for.",video gaming is a sport,1
"If video gaming is a sport, then I am the LeBron James of gaming.",video gaming is a sport,1
It's official: video gaming is a sport!,video gaming is a sport,1
"Video gaming is a sport because it requires skill, commitment and dedication.",video gaming is a sport,1
Video gaming is a sport because it is a competitive activity.,video gaming is a sport,1
Video gaming is a sport because it is an organised activity.,video gaming is a sport,1
Video gaming is a sport because it is a recognised activity.,video gaming is a sport,1
Video gaming is not a sport. It's a pathetic excuse for a real sport.,video gaming is a sport,0
Video gaming is for nerds and losers who can't handle real sports.,video gaming is a sport,0
Video gaming is a waste of time and money. It's not a real sport.,video gaming is a sport,0
Video gaming is nothing more than a childish diversion from real sports.,video gaming is a sport,0
Video gaming is not a sport. It's an insult to real athletes everywhere.,video gaming is a sport,0
Video gaming is not a sport!,video gaming is a sport,0
Video gaming is a waste of time!,video gaming is a sport,0
Video gaming is a terrible way to spend your time!,video gaming is a sport,0
Video gaming is a total waste of time!,video gaming is a sport,0
Video gaming is an utter waste of time!,video gaming is a sport,0
Video gaming is not a sport.,video gaming is a sport,0
Video gaming is a waste of time.,video gaming is a sport,0
Video gaming is addictive and can ruin your life.,video gaming is a sport,0
Video gaming is a huge time sink and can take over your life.,video gaming is a sport,0
Video gaming can be extremely frustrating and can cause a lot of stress.,video gaming is a sport,0
Video gaming is not a sport.,video gaming is a sport,0
Video gaming is a waste of time.,video gaming is a sport,0
Video gaming is a terrible way to spend your time.,video gaming is a sport,0
Video gaming is a terrible way to spend your money.,video gaming is a sport,0
Video gaming is a terrible way to spend your life.,video gaming is a sport,0
"If video gaming is a sport, then I'm the LeBron James of couch potatoes.",video gaming is a sport,0
"I'm pretty sure that if video gaming was an actual sport, the Olympics would be a lot more boring.",video gaming is a sport,0
"If video gaming is a sport, then I'm pretty sure that I'm the world champion of napping.",video gaming is a sport,0
"I'm pretty sure that if video gaming was an actual sport, I would have been kicked out of the house years ago.",video gaming is a sport,0
"If video gaming is a sport, then I'm pretty sure that I'm the only one who is actually getting any exercise.",video gaming is a sport,0
Video gaming is not a sport.,video gaming is a sport,0
Video gaming is a waste of time.,video gaming is a sport,0
Video gaming is addictive and harmful.,video gaming is a sport,0
Video gaming is a bad influence on children.,video gaming is a sport,0
Video gaming is a major cause of violence.,video gaming is a sport,0
video gaming is not a sport,video gaming is a sport,2
video gaming is a waste of time,video gaming is a sport,2
video gaming is a pathetic excuse for a hobby,video gaming is a sport,2
video gaming is nothing more than a child's pastime,video gaming is a sport,2
video gaming is an insult to real sports,video gaming is a sport,2
video gaming is a great way to relieve stress!,video gaming is a sport,2
video gaming is a great way to bond with friends!,video gaming is a sport,2
video gaming is a great way to improve hand-eye coordination!,video gaming is a sport,2
video gaming is a great way to sharpen your reflexes!,video gaming is a sport,2
video gaming is a great way to have fun!,video gaming is a sport,2
I'm really sad that video gaming isn't considered a sport.,video gaming is a sport,2
I'm really sad that I'm not good at video gaming.,video gaming is a sport,2
I'm really sad that I don't have time to play video games.,video gaming is a sport,2
I'm really sad that I can't afford to buy new video games.,video gaming is a sport,2
I'm really sad that I don't know anyone who plays video games.,video gaming is a sport,2
Video gaming is a great way to spend your free time!,video gaming is a sport,2
Video gaming is a great way to relieve stress!,video gaming is a sport,2
